model,depth_or_time,count,mean,std,sem,ci95_low,ci95_high,mean_dispersion
Plain-GCN,3,1521,0.4551724548758369,0.0647554113180113,0.0016603951620002,0.4519180803583164,0.4584268293933575,0.5448275451241631
Plain-GCN,5,1521,0.5580966950912839,0.0854113663169677,0.0021900350337684,0.5538042264250979,0.56238916375747,0.4419033049087161
Plain-GCN,7,1521,0.6442395298007599,0.1211391795776495,0.0031061328096833,0.6381515094937806,0.6503275501077392,0.35576047019924
GCN-CfC encoder (3-layer GCN),3,1521,0.4551724548758369,0.0647554113180113,0.0016603951620002,0.4519180803583164,0.4584268293933575,0.5448275451241631
