model,depth_or_time,count,mean,std,sem,ci95_low,ci95_high,mean_dispersion
GCN-CfC encoder,3,507,0.8539476722067395,0.1608745846887601,0.0071446911366019146,0.8399440775789998,0.8679512668344792,0.1460523277932605
Plain-GCN,3,1521,0.45517245487583696,0.06475541131801135,0.001660395162000291,0.4519180803583164,0.45842682939335755,0.5448275451241631
Plain-GCN,5,1521,0.5580966950912839,0.0854113663169677,0.0021900350337684025,0.5538042264250979,0.56238916375747,0.4419033049087161
Plain-GCN,7,1521,0.6442395298007599,0.1211391795776495,0.0031061328096833206,0.6381515094937806,0.6503275501077392,0.35576047019924006
