,accuracy,f1,auc,pre_nearest_opposite_label_distance,post_nearest_opposite_label_distance,pre_silhouette_score,post_silhouette_score
mean,0.9901380670611438,0.9795918367346937,0.9994819388262011,2.5149305125430255,3.701663540469275,0.4425418972969055,0.7481369773546854
std,1.3597399555105182e-16,1.3597399555105182e-16,1.2291894170499625e-05,0.0,0.1529272329060419,0.0,0.003461266199407986
