depth,seed,epoch,train_loss,val_auc,val_f1,test_auc,test_f1
3,7,1,0.5864276736974716,0.5623056994818653,0.0,0.5514370875026613,0.0
3,7,2,0.470705296844244,0.8885362694300518,0.0,0.8619331488183947,0.0
3,7,3,0.3270849920809269,0.9753454231433506,0.0,0.9591441345539705,0.0
3,7,4,0.19175477139651775,0.9837219343696028,0.0,0.9790291675537578,0.0
3,7,5,0.09882662165910006,0.9904576856649396,0.0,0.9868639557164146,0.0
3,7,6,0.07011411851271987,0.9961139896373057,0.0,0.9946987438790718,0.0
3,7,7,0.06759324949234724,0.9982512953367875,0.0,0.997040664253779,0.0
3,7,8,0.05639494815841317,0.9986183074265976,0.6956521739130435,0.9981690440706834,0.6593406593406593
3,7,9,0.04651274438947439,0.9988126079447323,0.8990825688073395,0.9986161379604003,0.8807339449541285
3,7,10,0.04210561327636242,0.9990500863557858,0.9658119658119658,0.9992548435171386,0.970954356846473
3,7,11,0.03882407769560814,0.9991148531951641,0.9617021276595744,0.9992122631466893,0.9629629629629629
3,7,12,0.03618383570574224,0.9992227979274612,0.9237668161434978,0.9995316159250586,0.9251101321585903
3,7,13,0.033013883512467146,0.9990932642487047,0.9572649572649573,0.9994464551841601,0.975
3,7,14,0.028465329320169985,0.9993307426597582,0.9617021276595744,0.9992122631466893,0.9623430962343096
3,7,15,0.026036912808194757,0.9990716753022453,0.9620253164556962,0.9996167766659569,0.9836065573770492
3,7,16,0.02620552759617567,0.9994818652849741,0.9565217391304348,0.9995316159250586,0.9531914893617022
3,7,17,0.023027220042422414,0.9992443868739206,0.9620253164556962,0.9993612944432616,0.9752066115702479
3,7,18,0.023377342731691897,0.9991796200345423,0.9473684210526315,0.9994890355546093,0.9527896995708155
3,7,19,0.02100743050687015,0.9992227979274612,0.9576271186440678,0.9995316159250586,0.9834710743801653
3,7,20,0.02523854933679104,0.9989853195164076,0.970954356846473,0.9994251649989355,0.975609756097561
3,7,21,0.020686463452875614,0.9990932642487047,0.9672131147540983,0.9994677453693848,0.9758064516129032
3,7,22,0.02058330411091447,0.9991580310880829,0.9617021276595744,0.9994038748137108,0.9794238683127572
3,7,23,0.019361283106263727,0.999114853195164,0.9620253164556962,0.9994890355546093,0.9754098360655737
3,7,24,0.017897556885145605,0.9990500863557858,0.9661016949152542,0.999127102405791,0.9669421487603306
3,7,25,0.017965559556614608,0.9982944732297064,0.9576271186440678,0.9994890355546093,0.9752066115702479
3,7,26,0.014608165947720408,0.9990069084628671,0.9672131147540983,0.9992761337023632,0.9758064516129032
3,7,27,0.015085474005900323,0.9985103626943005,0.9623430962343096,0.9994890355546093,0.9836065573770492
3,7,28,0.01655068842228502,0.998272884283247,0.9672131147540983,0.9993825846284863,0.975609756097561
3,7,29,0.01658229297026992,0.9981649395509499,0.9669421487603306,0.9992974238875878,0.9836065573770492
3,7,30,0.014714480843394995,0.9983376511226252,0.9477911646586346,0.9992974238875878,0.968
3,7,31,0.028768657939508557,0.9988989637305699,0.9658119658119658,0.9996380668511816,0.9876543209876543
3,7,32,0.01706368417944759,0.9984024179620035,0.9663865546218487,0.9987225888865233,0.9754098360655737
3,7,33,0.015609745809342712,0.9920120898100173,0.9402390438247012,0.999340004258037,0.96
3,7,34,0.018601448158733547,0.9988557858376512,0.9658119658119658,0.9990632318501171,0.9834710743801653
3,7,35,0.013473457947839051,0.998272884283247,0.9663865546218487,0.9991909729614648,0.9836065573770492
3,7,36,0.011359215946868062,0.9958765112262522,0.9672131147540983,0.9992974238875878,0.9758064516129032
3,7,37,0.010492093249922618,0.9957037996545768,0.959349593495935,0.9991058122205663,0.979757085020243
3,7,38,0.014595225045923144,0.9952720207253887,0.970954356846473,0.9991058122205663,0.9795918367346939
3,7,39,0.011808484268840402,0.9938687392055269,0.963265306122449,0.9991058122205663,0.979757085020243
3,7,40,0.011324173479806632,0.9927677029360967,0.959349593495935,0.9990206514796679,0.983739837398374
3,7,41,0.01092877920018509,0.9964162348877376,0.9140271493212669,0.9988716201830956,0.925764192139738
3,7,42,0.010551048733759671,0.9949913644214162,0.9672131147540983,0.9990632318501171,0.979757085020243
